cdcid,DateFirstIll,EstimatedPrimary,DeathsInfo,HospitalInfo,CAFC_1,States,Ingredients,FoodNames,IFSACLevel,TaxonomyConfirmation
297276,2020-07-24,14,14.0,14.0,Multiple,['kentucky'],[],"['vegetable', 'lasagna']",['multiple'],confirmed
297282,2021-03-19,8,8.0,8.0,,['michigan'],[],[],[],suspected
297283,2021-03-23,13,13.0,13.0,,['michigan'],[],[],[],confirmed
297300,2020-07-17,4,3.0,3.0,Multiple,['texas'],[],"['chicken', 'salad', 'grapes', 'watermelon']",['multiple'],confirmed
297309,2021-04-02,5,5.0,5.0,,['utah'],[],[],[],suspected
297310,2021-04-03,7,0.0,0.0,,['ohio'],[],[],[],suspected
297315,2020-08-21,5,5.0,5.0,Fish,"['puerto', 'rico']",[],"['fish', 'king', 'mackarel']","['aquatic', 'animals', 'fish']",confirmed
297316,2020-01-29,3,3.0,3.0,Dairy,['pennsylvania'],"['milk', 'unpasteurized']","['milk', 'unpasteurized']","['land', 'animals', 'dairy', 'fluid', 'milk', 'unpasteurized']",suspected
297317,2021-04-02,19,19.0,19.0,,['ohio'],[],[],[],confirmed
297318,2021-02-27,7,7.0,7.0,,['georgia'],[],[],[],suspected
297323,2020-05-31,14,10.0,10.0,,"['massachusetts', 'rhode', 'island']",[],[],[],confirmed
297343,2021-03-13,4,4.0,3.0,Vegetable Row Crops,"['minnesota', 'wisconsin']",['cabbage'],"['napa', 'cabbage', 'salad']","['plant', 'produce', 'vegetables', 'leafy', 'vine', 'stalk', 'vegetable', 'row', 'crops', 'leafy']",confirmed
297344,2021-02-07,4,4.0,4.0,,['michigan'],[],[],[],
297356,2020-01-01,5,5.0,5.0,,"['maryland', 'virginia']",[],[],[],
297364,2021-04-05,5,5.0,5.0,,['michigan'],[],[],[],confirmed
297366,2021-04-05,4,4.0,4.0,,['tennessee'],[],[],[],suspected
297379,2021-03-22,3,0.0,1.0,,['texas'],[],[],[],
297397,2021-03-25,4,4.0,4.0,,['michigan'],[],[],[],
297402,2019-12-24,2,2.0,1.0,,['colorado'],[],[],[],suspected
297425,2021-04-17,2,2.0,2.0,,['ohio'],[],[],[],
